'Page number,'Layout,'Text,'Reading Order,'Confidence score % (Layout)
'1,'Text 1,"'Material escolar",'0,'58.15429688
'1,'List 1,"",'1,'25.46386719
'1,'Text 2 - Part of List 1,"'3 rolos de fita crepe",'2,'62.89062500
'1,'Text 3 - Part of List 1,"'1 bloco de canson A4",'3,'75.83007813
'1,'Text 4 - Part of List 1,"'1 fita adesiva",'4,'80.85937500
'1,'Text 5 - Part of List 1,"'5 folhas de cartolina",'5,'85.00976563
'1,'Text 6 - Part of List 1,"'3 placas de EVA",'6,'85.79101563
'1,'Text 7 - Part of List 1,"'1 EVA com gliter 5 papel colorset",'7,'31.73828125
'1,'Text 8 - Part of List 1,"'1 caneta permanente",'8,'79.19921875
'1,'Text 9 - Part of List 1,"'1 pacote de palito de sorvete",'9,'26.44042969
'1,'Text 10 - Part of List 1,"'4 papel cartão",'10,'80.17578125
'1,'Text 11 - Part of List 1,"'1 kit leoni n1",'11,'90.03906250
'1,'Text 12 - Part of List 1,"'1 dicionário",'12,'91.25976563
'1,'Text 13 - Part of List 1,"'1 pincel n14",'13,'88.96484375
'1,'Text 14 - Part of List 1,"'1 pasta 20mm",'14,'83.20312500
